ID,TITLE,LOCATION,STARTDATE,ENDDATE,COLOR,ALLDAY,PRIVATE,CREATIONDATE,CREATOR_ID,COURSE_ID,CONNECTED_ID,USERINTERFACE_NAME,NOTE
575720,Prüfung zum 1. Kyu,Köln,2026-01-10 11:02:00,2026-01-10 12:02:00,#e35138,0,0,2026-01-09 12:08:36,2,,,NWDK Veranstaltungen,
575719,[VORLAGE] Prüfung zum 1. Kyu,Köln,2026-01-10 11:02:00,2026-01-10 12:02:00,#e35138,0,0,2026-01-09 12:02:27,2,,,NWDK Veranstaltungen,
575721,[VORLAGE] Danprüfung,,2026-01-10 11:02:00,2026-01-10 12:02:00,#e35138,0,0,2026-01-09 12:10:24,2,,,NWDK Veranstaltungen,
567949,Vorbereitungslehrgang Kata-Meisterschaft 2026 NRW Test,NWJV LLStp. Witten ,2026-01-17 10:00:00,2026-01-17 11:00:00,#e35138,0,0,2025-11-12 15:40:22,46092,,,NWDK Veranstaltungen,"Ausrichter: NWDK Lehrgangsnummer: OWL202404 Ort: NWJV LLStp. Witten, Kälberweg 2, 58453 Witten, WebSite: https://sua-judo.de/kontakt.html Zeit: So. 17.01.2026, 10:00 Uhr – 16:00 Uhr Meldung: Die Meldung zum Lehrgang erfolgt durch die Vereine zusätzlich über den DokuMe-Link: https://event.dokume.app/#/46093/LG-NRW-Kata-Meisterschaft2026 Referenten: Werden vom Lehrbeauftragten eingesetzt. Leitung: José Pereira Teilnehmergebühr: keine Anmeldung: Teilnahme nur mit Anmeldung: Bitte den unteren Abschn"
585147,[VORLAGE] Danprüfung,,2026-02-19 11:02:00,2026-02-19 12:02:00,#e35138,0,0,2026-02-17 22:06:13,3,,,NWDK Veranstaltungen,
584873,Noch ein Test,Köln,2026-03-28 14:30:00,2026-03-28 15:30:00,#e35138,0,0,2026-02-16 02:29:05,172532,,,NWDK Veranstaltungen,hier steht eine Beschreibung
567950,Wertungsrichterschulung 2026 NRW Test,"NWJV LLStp. Witten, Deutschland",2026-04-19 10:00:00,2026-04-19 11:00:00,#e35138,0,0,2025-11-12 15:49:21,46092,,,NWDK Veranstaltungen,"Veranstalter: NWJV Ausrichter: NWDK Lehrgangsnummer: 1100202605 Ort: NWJV LLStp. Witten Kälberweg 2 58453 Witten WebSite: https://sua-judo.de/kontakt.html Datum: Sonntag, 19.04.2026 Zeit: 10:00 Uhr - 15:00 Uhr Meldung: Die Meldung zum Lehrgang erfolgt durch die Vereine über den DokuMe-Link: https://event.dokume.app/#/46093/WRS_2026 Meldeschluss: 17.04.2026 Referenten: werden vom NWJV/NWDK Ressortleiter Kata-Wettkampf benannt. Leitung: José Pereira Rückfragen: José Pereira (Tel.: 02945/2025891) j"
568017,LKM NRW 2026 Offen 1,Werl,2026-05-12 09:00:00,2026-05-12 10:00:00,#47A447,,,2025-11-12 21:25:17,46092,,,NWDK Veranstaltungen,"Veranstalter: Nordrhein-Westfälischer Judo-Verband und Nordrhein-Westfälisches Dan-Kollegium Ausrichter: Werler TV Ort: Sporthalle am Salzbach, Höppe 11, 59457 Werl Datum: Sonntag, 17.05.2026 Eintreffen: 09:00 Uhr Beginn: 10:00 Uhr Teilnehmer/innen: Judoka aus dem DJB-Bereich ab 3. Kyu Frauen/Männer Jugend: Judoka Jahrgänge 2009 und jünger (Tori und Uke) ab 3. Kyu Jugendpokal-Nage-no-kata Gruppe 1-3 Jugendpokal-Katame-no-kata Gruppe 1 Sportliche Leitung: NWJV/NWDK Ressortleiter Kata-Wettkampf Me"
582736,LKM NRW 2026 Offen 1 TEST,Werl,2026-05-13 09:00:00,2026-05-13 10:00:00,#47A447,,,2026-02-03 11:22:59,172534,,,NWDK Veranstaltungen,"Veranstalter: Nordrhein-Westfälischer Judo-Verband und Nordrhein-Westfälisches Dan-Kollegium Ausrichter: Werler TV Ort: Sporthalle am Salzbach, Höppe 11, 59457 Werl Datum: Sonntag, 17.05.2026 Eintreffen: 09:00 Uhr Beginn: 10:00 Uhr Teilnehmer/innen: Judoka aus dem DJB-Bereich ab 3. Kyu Frauen/Männer Jugend: Judoka Jahrgänge 2009 und jünger (Tori und Uke) ab 3. Kyu Jugendpokal-Nage-no-kata Gruppe 1-3 Jugendpokal-Katame-no-kata Gruppe 1 Sportliche Leitung: NWJV/NWDK Ressortleiter Kata-Wettkampf Me"
573613,LKM NRW 2026 Offen 2 TEST,Werl,2026-05-24 09:00:00,2026-05-24 10:00:00,#e35138,0,0,2025-12-18 12:56:06,172534,,,NWDK Veranstaltungen,"Veranstalter: Nordrhein-Westfälischer Judo-Verband und Nordrhein-Westfälisches Dan-Kollegium Ausrichter: Werler TV Ort: Sporthalle am Salzbach, Höppe 11, 59457 Werl Datum: Sonntag, 17.05.2026 Eintreffen: 09:00 Uhr Beginn: 10:00 Uhr Teilnehmer/innen: Judoka aus dem DJB-Bereich ab 3. Kyu Frauen/Männer Jugend: Judoka Jahrgänge 2009 und jünger (Tori und Uke) ab 3. Kyu Jugendpokal-Nage-no-kata Gruppe 1-3 Jugendpokal-Katame-no-kata Gruppe 1 Sportliche Leitung: NWJV/NWDK Ressortleiter Kata-Wettkampf Me"
584865,Testveranstaltung,Köln,2026-08-01 10:00:00,2026-08-01 11:30:00,#e35138,0,0,2026-02-15 22:49:14,172532,,,NWDK Veranstaltungen,Das ist ein Test.
567952,Multiplikatorenschulung in der Katame-no-kata Test,Düsseldorf,2026-08-16 14:00:00,2026-08-16 15:00:00,#e35138,0,0,2025-11-12 15:56:34,46092,,,NWDK Veranstaltungen,"Veranstalter: Ausrichter: NWDK Lehrgangsnummer: 1100202604 Ort: NWJV LLStp. Kata Düsseldorf, Ellerstr. 84, 40227 Düsseldorf Zeit: Sa. 16.08.2026, 14:00 Uhr – 19:00 Uhr Meldung: Die Meldung zum Lehrgang erfolgt durch die Vereine zusätzlich über den DokuMe-Link: https://event.dokume.app/#/46093/MultiplikatorenschulungKANOKATest Referenten: n.N. Leitung: José Pereira Teilnehmergebühr: keine Rückfragen: José Pereira (Tel.: 02945/2025891) jose.pereira@nwdk.de"
